AirportID,AirportName,City,Country,IATACode,ICAOCode,Latitude,Longitude,Altitude,TimezoneOffset,DST,Timezone
417,"Enontekio","Enontekio","Finland","ENF","EFET",68.362586,23.424322,1005,2,"E","Europe/Helsinki"
418,"Eura","Eura","Finland","","EFEU",61.116112,22.201389,259,2,"E","Europe/Helsinki"
419,"Halli","Halli","Finland","KEV","EFHA",61.85605,24.7866,479,2,"E","Europe/Helsinki"
420,"Helsinki Malmi","Helsinki","Finland","HEM","EFHF",60.254558,25.042828,57,2,"E","Europe/Helsinki"
421,"Helsinki Vantaa","Helsinki","Finland","HEL","EFHK",60.317222,24.963333,179,2,"E","Europe/Helsinki"
422,"Hameenkyro","Hameenkyro","Finland","","EFHM",61.689656,23.073744,449,2,"E","Europe/Helsinki"
423,"Hanko","Hanko","Finland","","EFHN",59.848864,23.083583,20,2,"E","Europe/Helsinki"
424,"Hyvinkaa","Hyvinkaa","Finland","HYV","EFHV",60.654444,24.881111,430,2,"E","Europe/Helsinki"
425,"Kiikala","Kikala","Finland","","EFIK",60.462502,23.6525,381,2,"E","Europe/Helsinki"
426,"Immola","Immola","Finland","","EFIM",61.249172,28.903711,338,2,"E","Europe/Helsinki"
427,"Kitee","Kitee","Finland","","EFIT",62.166111,30.073611,364,2,"E","Europe/Helsinki"
428,"Ivalo","Ivalo","Finland","IVL","EFIV",68.607269,27.405328,481,2,"E","Europe/Helsinki"
429,"Joensuu","Joensuu","Finland","JOE","EFJO",62.662906,29.60755,398,2,"E","Europe/Helsinki"
430,"Jyvaskyla","Jyvaskyla","Finland","JYV","EFJY",62.399453,25.678253,459,2,"E","Europe/Helsinki"
431,"Kauhava","Kauhava","Finland","KAU","EFKA",63.127078,23.051442,151,2,"E","Europe/Helsinki"
432,"Kemi Tornio","Kemi","Finland","KEM","EFKE",65.781889,24.5991,61,2,"E","Europe/Helsinki"
433,"Kajaani","Kajaani","Finland","KAJ","EFKI",64.285472,27.692414,483,2,"E","Europe/Helsinki"
434,"Kauhajoki","Kauhajoki","Finland","","EFKJ",62.462502,22.393055,407,2,"E","Europe/Helsinki"
435,"Kruunupyy","Kruunupyy","Finland","KOK","EFKK",63.721172,23.143131,84,2,"E","Europe/Helsinki"
436,"Kemijarvi","Kemijarvi","Finland","","EFKM",66.712883,27.156786,692,2,"E","Europe/Helsinki"
437,"Kuusamo","Kuusamo","Finland","KAO","EFKS",65.987575,29.239381,866,2,"E","Europe/Helsinki"
438,"Kittila","Kittila","Finland","KTT","EFKT",67.701022,24.84685,644,2,"E","Europe/Helsinki"
439,"Kuopio","Kuopio","Finland","KUO","EFKU",63.00715,27.797756,323,2,"E","Europe/Helsinki"
440,"Lahti Vesivehmaa","Vesivehmaa","Finland","","EFLA",61.144158,25.693508,502,2,"E","Europe/Helsinki"
441,"Lappeenranta","Lappeenranta","Finland","LPP","EFLP",61.044553,28.144397,349,2,"E","Europe/Helsinki"
442,"Mariehamn","Mariehamn","Finland","MHQ","EFMA",60.122203,19.898156,17,2,"E","Europe/Mariehamn"
443,"Menkijarvi","Menkijarvi","Finland","","EFME",62.946667,23.518889,331,2,"E","Europe/Helsinki"
444,"Mikkeli","Mikkeli","Finland","MIK","EFMI",61.6866,27.201794,329,2,"E","Europe/Helsinki"
445,"Nummela","Nummela","Finland","","EFNU",60.333889,24.296389,367,2,"E","Europe/Helsinki"
446,"Oulu","Oulu","Finland","OUL","EFOU",64.930061,25.354564,47,2,"E","Europe/Helsinki"
447,"Piikajarvi","Piikajarvi","Finland","","EFPI",61.245558,22.193356,148,2,"E","Europe/Helsinki"
448,"Pori","Pori","Finland","POR","EFPO",61.461686,21.799983,44,2,"E","Europe/Helsinki"
449,"Pudasjarvi","Pudasjarvi","Finland","","EFPU",65.402222,26.946944,397,2,"E","Europe/Helsinki"
450,"Pyhasalmi","Pyhasalmi","Finland","","EFPY",63.731917,25.926306,528,2,"E","Europe/Helsinki"
451,"Raahe Pattijoki","Pattijoki","Finland","","EFRH",64.688056,24.695833,118,2,"E","Europe/Helsinki"
452,"Rantasalmi","Rantasalmi","Finland","","EFRN",62.065481,28.356494,292,2,"E","Europe/Helsinki"
453,"Rovaniemi","Rovaniemi","Finland","RVN","EFRO",66.564822,25.830411,642,2,"E","Europe/Helsinki"
454,"Rayskala","Rayskala","Finland","","EFRY",60.744722,24.107778,407,2,"E","Europe/Helsinki"
455,"Savonlinna","Savonlinna","Finland","SVL","EFSA",61.943064,28.945136,311,2,"E","Europe/Helsinki"
456,"Selanpaa","Selanpaa","Finland","","EFSE",61.062389,26.798861,417,2,"E","Europe/Helsinki"
457,"Sodankyla","Sodankyla","Finland","SOT","EFSO",67.395033,26.619133,602,2,"E","Europe/Helsinki"
458,"Tampere Pirkkala","Tampere","Finland","TMP","EFTP",61.414147,23.604392,390,2,"E","Europe/Helsinki"
459,"Teisko","Teisko","Finland","","EFTS",61.77335,24.027006,515,2,"E","Europe/Helsinki"
460,"Turku","Turku","Finland","TKU","EFTU",60.514142,22.262808,161,2,"E","Europe/Helsinki"
461,"Utti","Utti","Finland","QVY","EFUT",60.896394,26.938353,339,2,"E","Europe/Helsinki"
462,"Vaasa","Vaasa","Finland","VAA","EFVA",63.05065,21.762175,19,2,"E","Europe/Helsinki"
463,"Varkaus","Varkaus","Finland","VRK","EFVR",62.171111,27.868611,286,2,"E","Europe/Helsinki"
464,"Ylivieska","Ylivieska-raudaskyla","Finland","","EFYL",64.060547,24.715953,252,2,"E","Europe/Helsinki"
